Year,Residential (Primary),Residential,Commercial (Primary),Commercial,Industrial (Primary),Industrial,Transportation (Primary),Transportation, Electric Power (Primary),Energy Consumption Balancing Item,Total Energy
1949,4460.434,5599.25,2668.869,3668.816,12633.386,14723.587,7879.509,7990.015,4339.47,-0.165,31981.503 
1950,4829.337,5988.553,2834.094,3893.298,13889.626,16241.423,8383.407,8492.473,4679.283,0.021,34615.768
1951,5104.476,6380.193,2737.684,3873.226,15127.368,17678.532,8933.484,9041.892,5070.83,0.188,36974.03
1952,5158.193,6560.243,2672.911,3873.385,14671.564,17311.362,8906.891,9002.752,5338.183,0.082,36747.824
1953,5052.515,6558.748,2512.376,3770.982,15339.206,18211.754,9030.055,9123.022,5730.355,-0.039,37664.468
1954,5262.307,6846.058,2457.578,3732.921,14317.111,17157.695,8822.551,8902.617,5779.745,0.091,36639.382
1955,5607.812,7277.988,2561.252,3895.14,16102.98,19484.608,9474.426,9550.205,6461.471,0.03,40207.971
1956,5839.383,7662.725,2606.854,4022.859,16575.573,20209.479,9790.32,9859.364,6942.296,-0.174,41754.252
1957,5743.9,7712,2449.291,3960.787,16526.394,20218.258,9836.694,9896.269,7231.035,-0.128,41787.186
1958,6125.37,8200.674,2557.205,4119.156,15812.501,19321.087,9952.005,10004.101,7197.936,0.011,41645.027
1959,6188.311,8411.866,2649.39,4372.186,16536.173,20333.201,10297.614,10348.53,7794.295,-0.061,43465.721
1960,6650.835,9039.418,2722.565,4609.4,16995.524,20841.687,10559.596,10595.943,8157.929,0.007,45086.455
1961,6775.61,9286.024,2764.986,4727.663,17012.051,20955.128,10733.732,10769.126,8451.561,-0.103,45737.836
1962,7079.711,9782.42,2923.873,5036.386,17610.477,21788.192,11184.889,11219.481,9027.528,-0.042,47826.437
1963,7089.813,9988.479,2921.18,5250.646,18388.155,22751.19,11620.029,11653.755,9624.895,0.124,49644.195
1964,7111.751,10240.574,2977.204,5465.993,19449.358,24111.354,11963.238,11997.007,10313.377,-0.14,51814.788
1965,7279.422,10639.387,3176.893,5845.423,20147.629,25097.614,12398.707,12432.456,11012.229,0.121,54015.002
1966,7500.386,11168.63,3408.944,6324.047,21055.032,26421.623,13067.522,13100.235,11982.651,-0.203,57014.332
1967,7711.36,11639.275,3767.693,6899.205,21012.944,26614.298,13718.194,13752.076,12694.663,-0.333,58904.522
1968,7932.745,12336.29,3899.46,7329.032,21868.985,27883.171,14831.225,14865.775,13881.853,0.238,62414.508
1969,8242.797,13169.156,4085.279,7833.219,22647.702,29105.4,15471.249,15506.506,15167.253,-0.26,65614.021
1970,8322.406,13765.758,4236.666,8346.295,22963.9,29627.901,16061.89,16098.249,16253.34,0.123,67838.325
1971,8427.451,14246.2,4323.753,8720.954,22719.816,29585.943,16694.335,16730.053,17117.795,-0.307,69282.843
1972,8627.379,14857.045,4411.961,9183.416,23516.505,30930.189,17682.135,17717.291,18449.961,-0.075,72687.868
1973,8225.308,14897.351,4422.793,9542.957,24720.398,32623.268,18577.224,18612.78,19730.632,7.334,75683.69
1974,7907.91,14654.336,4259.084,9393.324,23795.853,31787.187,18087.175,18120.419,19905.245,7.102,73962.369
1975,7989.629,14813.4,4059.188,9492.492,21434.365,29413.018,18210.492,18245.003,20270.238,0.64,71964.553
1976,8391.135,15410.259,4371.469,10063.334,22665.169,31392.821,19066.676,19100.798,21472.764,7.613,75974.826
1977,8193.619,15661.713,4258.152,10207.599,23165.296,32263.009,19786.215,19821.59,22550.63,7.418,77961.33
